session_id_group,session_start_url,num_total_events,num_page_visits,num_clicks,num_mouse_moves,num_mouse_moves_to_element,num_errors,session_duration_seconds,avg_time_between_clicks,total_mouse_dist_approx,avg_mouse_speed_approx,num_unique_element_tags,entropy_element_tags,num_a_tags_interacted,num_button_tags_interacted,num_input_tags_interacted,num_unique_urls_in_session,navigated_away_from_start_url,num_error_click_intercepted,num_error_no_clickables_found,num_error_http_read_timeout
1,https://www.allrecipes.com/recipe/142027/sweet-restaurant-slaw/,3,1,1,0,1,0,39.701,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0
2,https://www.allrecipes.com/recipe/86662/worlds-best-potato-salad/,4,1,1,1,1,0,39.768,0.0,2.8284271247461903,0.07112319263594323,1,0.0,2,0,0,1,0,0.0,0.0,0.0
3,https://www.allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/,6,1,1,1,2,1,51.051,0.0,445.22047760108626,8.721092194101708,1,0.0,0,3,0,1,0,1.0,0.0,0.0
4,https://www.allrecipes.com/recipe/81108/classic-macaroni-salad/,3,1,1,0,1,0,38.692,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0
5,https://www.allrecipes.com/recipe/238423/dads-creamy-cucumber-salad/,7,1,0,0,3,3,63.42,0.0,655.0380294586331,10.328571893072107,2,0.6365141682948128,1,2,0,1,0,3.0,0.0,0.0
6,https://www.foodnetwork.com/recipes/photos/5-star-pasta-recipes,7,1,1,0,3,2,67.193,0.0,1566.1637508334402,23.308436159026094,3,1.0397207708399179,2,1,0,2,1,2.0,0.0,0.0
7,https://www.foodnetwork.com/recipes/jeff-mauro/better-than-trendy-baked-tomato-and-feta-pasta-11459743,3,1,1,0,1,0,52.342,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0
8,https://www.foodnetwork.com/recipes/photos/ground-beef-recipes,7,1,2,0,3,1,87.396,27.775,1213.150466357559,13.881075407999898,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0
9,https://www.foodnetwork.com/recipes/photos/healthy-breakfasts,5,1,2,0,2,0,60.401,13.736,510.86813367051974,8.457941651140208,2,0.5623351446188083,3,0,0,2,1,0.0,0.0,0.0
10,https://www.foodnetwork.com/recipes/photos/smoothie-recipes,4,1,1,1,1,0,39.264,0.0,0.5,0.012734311328443357,1,0.0,2,0,0,1,0,0.0,0.0,0.0
11,https://www.bonappetit.com/recipe/dill-pickle-potato-salad,8,1,1,1,3,2,58.051,0.0,692.41767408025,11.92774756817712,1,0.0,4,0,0,1,0,2.0,0.0,0.0
12,https://www.bonappetit.com/recipe/easy-fluffy-pancakes,7,1,1,0,3,2,71.017,0.0,1142.0970164853911,16.082022846436644,3,1.0397207708399179,2,1,0,2,1,2.0,0.0,0.0
13,https://www.bonappetit.com/recipe/london-broil-recipe,7,1,1,0,3,2,104.365,0.0,393.5242916009262,3.770653874392049,2,0.5623351446188083,3,0,0,2,1,2.0,0.0,0.0
14,https://www.bonappetit.com/recipe/easy-plum-tarts,7,1,2,0,3,1,131.022,52.064,204.82248411734489,1.5632678795724757,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0
15,https://www.bonappetit.com/recipe/crispy-rice-salad-spicy-tahini-dressing,3,1,0,0,1,1,34.791,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0
16,https://panlasangpinoy.com/categories/recipes/chicken-recipes/,5,1,2,0,2,0,162.354,78.934,30.504098085339287,0.1878863353249029,2,0.6931471805599453,2,0,0,3,1,0.0,0.0,0.0
17,https://panlasangpinoy.com/chicken-bistek/,3,1,1,0,1,0,81.628,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0
18,https://panlasangpinoy.com/filipino-chicken-ala-king/,6,1,1,1,2,1,54.181,0.0,993.4913275005991,18.33652622691717,1,0.0,3,0,0,1,0,1.0,0.0,0.0
19,https://panlasangpinoy.com/pork-ribs-caldereta/,3,1,1,0,1,0,49.868,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0
20,https://panlasangpinoy.com/categories/recipes/vegetable-recipes/,4,1,1,1,1,0,38.11,0.0,1.0,0.026239832065074783,1,0.0,2,0,0,1,0,0.0,0.0,0.0
21,https://panlasangpinoy.com/oven-roasted-asparagus/,3,1,1,0,1,0,51.547,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0
22,https://panlasangpinoy.com/stuffed-eggplant-relyenong-talong-recipe/,3,1,1,0,1,0,46.338,0.0,0.0,0.0,2,0.6931471805599453,1,0,0,2,1,0.0,0.0,0.0
23,https://panlasangpinoy.com/categories/recipes/fish-recipes-recipes/,3,1,1,0,1,0,33.15,0.0,0.0,0.0,1,0.0,0,0,2,1,0,0.0,0.0,0.0
24,https://panlasangpinoy.com/fish-stew-paksiw-na-isda-sa-gata/,8,1,1,1,3,2,59.262,0.0,1337.522243905358,22.569644019866995,1,0.0,4,0,0,1,0,2.0,0.0,0.0
25,https://panlasangpinoy.com/filipino-paksiw-recipe/,5,1,2,0,2,0,61.07,16.464,812.4678455175934,13.303878262937506,2,0.6931471805599453,2,0,0,2,1,0.0,0.0,0.0
26,https://panlasangpinoy.com/sweet-and-sour-fish-fillet/,3,1,0,0,1,1,35.298,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0
27,https://panlasangpinoy.com/categories/recipes/dessert-and-pastry-recipes/,5,1,2,0,2,0,98.36,55.725,139.2569567382542,1.4157884987622427,2,0.6931471805599453,2,0,0,3,1,0.0,0.0,0.0
28,https://www.seriouseats.com/lazy-daisy-cake-recipe-11734164,3,1,0,0,1,1,36.586,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0
29,https://www.seriouseats.com/doughnut-muffins-recipe-11733378,5,1,2,0,2,0,48.627,14.762,398.7035239372735,8.199221089873392,1,0.0,4,0,0,2,1,0.0,0.0,0.0
30,https://www.seriouseats.com/carrot-harissa-rissotto-11731297,5,1,2,0,2,0,46.645,14.149,433.7262961822813,9.298452056646614,1,0.0,4,0,0,2,1,0.0,0.0,0.0
31,https://www.tasteofhome.com/recipes/dubai-chocolate-latte/,7,1,2,0,3,1,102.347,31.371,611.9872091129463,5.979532464194811,2,0.6730116670092565,3,0,0,3,1,1.0,0.0,0.0
32,https://www.tasteofhome.com/collection/bacon-breakfast-recipes/,3,1,0,0,1,1,38.937,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0
33,https://openai.com/,2,1,0,0,0,1,34.83,0.0,0.0,0.0,0,0.0,0,0,0,1,0,0.0,1.0,0.0
34,https://www.wikipedia.org/,7,1,3,0,3,0,75.613,16.7995,694.029726768224,9.17870904167569,2,0.6931471805599453,3,0,0,4,1,0.0,0.0,0.0
35,https://www.bbc.com/,7,1,2,0,3,1,64.529,12.473,1206.5353275690995,18.697567412622227,2,0.5004024235381879,4,0,0,2,1,1.0,0.0,0.0
36,https://www.kawalingpinoy.com/chayote-and-egg-stir-fry/,6,1,2,1,2,0,53.855,16.382,450.07738626910947,8.357207060980587,2,0.5623351446188083,3,0,0,1,0,0.0,0.0,0.0
37,https://www.kawalingpinoy.com/chop-suey/,9,1,3,2,3,0,71.51,17.308,451.18363877038325,6.309378251578566,2,0.45056120886630463,5,0,0,2,1,0.0,0.0,0.0
38,https://www.kawalingpinoy.com/category/meat-and-poultry/,3,1,1,0,1,0,35.433,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0
39,https://www.kawalingpinoy.com/grilled-shrimp-mango-and-avocado-salad/,8,1,2,1,3,1,85.413,20.771,1890.9910687837732,22.139382398273955,2,0.5004024235381879,4,0,0,3,1,1.0,0.0,0.0
40,https://www.kawalingpinoy.com/bistek/,3,1,1,0,1,0,35.712,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0
41,https://www.kawalingpinoy.com/beef-caldereta/,8,1,1,1,3,2,62.498,0.0,1342.7707565274914,21.485019625067864,1,0.0,4,0,0,1,0,2.0,0.0,0.0
42,https://www.kawalingpinoy.com/kutsinta/,7,1,2,2,2,0,57.241,14.193,433.72560349548894,7.5771842472264455,2,0.6931471805599453,2,2,0,1,0,0.0,0.0,0.0
43,https://www.kawalingpinoy.com/mango-and-cream-cheese-turon/,7,1,3,0,3,0,72.127,16.989,1577.7138321376328,21.87410861588078,1,0.0,6,0,0,3,1,0.0,0.0,0.0
44,https://www.kawalingpinoy.com/maja-jubilee/,10,1,3,3,3,0,69.801,14.9055,1332.624716388724,19.091771126326613,3,0.8675632284814612,4,0,1,1,0,0.0,0.0,0.0
45,https://www.kawalingpinoy.com/pinaupong-manok/,3,1,1,0,1,0,37.81,0.0,0.0,0.0,1,0.0,2,0,0,1,0,0.0,0.0,0.0
46,https://www.recipetineats.com/crispy-oven-baked-quesadillas/,7,1,0,0,3,3,56.644,0.0,544.6515146382872,9.615343454528055,1,0.0,3,0,0,1,0,3.0,0.0,0.0
47,https://www.recipetineats.com/puttanesca-fish-tray-bake/,6,1,0,0,2,3,175.123,0.0,142.00352108310554,0.8108787599750207,1,0.0,2,0,0,2,1,2.0,0.0,1.0
48,https://www.recipetineats.com/one-pot-chicken-risoni-with-crispy-salami/,5,1,0,0,2,2,51.493,0.0,363.522007586886,7.059639321594896,1,0.0,2,0,0,1,0,2.0,0.0,0.0
49,https://www.recipetineats.com/category/no-cook-food/,7,1,0,0,3,3,53.772,0.0,421.492295879591,7.838508812757402,2,0.6365141682948128,2,0,1,1,0,3.0,0.0,0.0
50,https://www.recipetineats.com/carbonara/,5,1,0,0,2,2,51.062,0.0,203.07449372090036,3.9770180118463903,2,0.6931471805599453,1,1,0,1,0,2.0,0.0,0.0
51,https://www.recipetineats.com/canned-tuna-pasta/,3,1,0,0,1,1,38.374,0.0,0.0,0.0,1,0.0,1,0,0,1,0,1.0,0.0,0.0
